icd9_code,label_index,code_kind,name,short_name,type,description,orpha_code,orpha_name,icd10_map,mapping_method,is_rare_disease
191.0,340,diagnosis,"Malignant neoplasm of cerebrum, except lobes and ventricles",Malign neopl cerebrum,ICD-9-CM diagnosis,"Malignant neoplasm of cerebrum, except lobes and ventricles",none,none,C71.0,none,no
356.8,341,diagnosis,Other specified idiopathic peripheral neuropathy,Idio periph neurpthy NEC,ICD-9-CM diagnosis,Other specified idiopathic peripheral neuropathy,none,none,G60.8,none,no
389.12,342,diagnosis,"Neural hearing loss, bilateral","Neural hearng loss,bilat",ICD-9-CM diagnosis,"Neural hearing loss, bilateral",none,none,H90.3,none,no
756.6,343,diagnosis,Anomalies of diaphragm,Anomalies of diaphragm,ICD-9-CM diagnosis,Anomalies of diaphragm,none,none,Q79.0;Q79.1,none,no
757.5,344,diagnosis,Specified anomalies of nails,Nail anomalies NEC,ICD-9-CM diagnosis,Specified anomalies of nails,none,none,Q84.3;Q84.4;Q84.5;Q84.6,none,no
747.10,345,diagnosis,Coarctation of aorta (preductal) (postductal),Coarctation of aorta,ICD-9-CM diagnosis,Coarctation of aorta (preductal) (postductal),none,none,Q25.1,none,no
754.0,346,diagnosis,"Congenital musculoskeletal deformities of skull, face, and jaw",Cong skull/face/jaw def,ICD-9-CM diagnosis,"Congenital musculoskeletal deformities of skull, face, and jaw",none,none,Q67.0;Q67.1;Q67.2;Q67.3;Q67.4,none,no
757.39,347,diagnosis,Other specified anomalies of skin,Skin anomaly NEC,ICD-9-CM diagnosis,Other specified anomalies of skin,none,none,Q81.9;Q82.8,none,no
282.2,348,diagnosis,Anemias due to disorders of glutathione metabolism,Glutathione dis anemia,ICD-9-CM diagnosis,Anemias due to disorders of glutathione metabolism,none,none,D55.0;D55.1,none,no
417.8,349,diagnosis,Other specified diseases of pulmonary circulation,Pulmon circulat dis NEC,ICD-9-CM diagnosis,Other specified diseases of pulmonary circulation,none,none,I28.8,none,no
279.01,350,diagnosis,Selective IgA immunodeficiency,Selective iga immunodef,ICD-9-CM diagnosis,Selective IgA immunodeficiency,none,none,D80.2,none,no
758.5,351,diagnosis,Other conditions due to autosomal anomalies,Autosomal anomalies NEC,ICD-9-CM diagnosis,Other conditions due to autosomal anomalies,none,none,Q92.8,none,no
389.22,352,diagnosis,"Mixed hearing loss, bilateral","Mixed hearing loss,bilat",ICD-9-CM diagnosis,"Mixed hearing loss, bilateral",none,none,H90.6,none,no
690.18,353,diagnosis,Other seborrheic dermatitis,Sebrrheic dermatitis NEC,ICD-9-CM diagnosis,Other seborrheic dermatitis,none,none,L21.8,none,no
389.18,354,diagnosis,"Sensorineural hearing loss, bilateral","Sensonrl hear loss,bilat",ICD-9-CM diagnosis,"Sensorineural hearing loss, bilateral",none,none,H90.3,none,no
237.0,355,diagnosis,Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct,Unc behav neo pituitary,ICD-9-CM diagnosis,Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct,none,none,D44.3;D44.4,none,no
751.60,356,diagnosis,"Unspecified anomaly of gallbladder, bile ducts, and liver",Biliary & liver anom NOS,ICD-9-CM diagnosis,"Unspecified anomaly of gallbladder, bile ducts, and liver",none,none,Q44.1;Q44.5;Q44.7,none,no
283.11,357,diagnosis,Hemolytic-uremic syndrome,Hemolytic uremic synd,Clinical group,Hemolytic-uremic syndrome,ORPHA:544458,Hemolytic uremic syndrome,D59.3,name-exact,group
447.8,358,diagnosis,Other specified disorders of arteries and arterioles,Arterial disease NEC,ICD-9-CM diagnosis,Other specified disorders of arteries and arterioles,none,none,I77.3;I77.89,none,no
740.2,359,diagnosis,Iniencephaly,Iniencephaly,ICD-9-CM diagnosis,Iniencephaly,none,none,Q00.2,none,no
478.20,360,diagnosis,Unspecified disease of pharynx,Disease of pharynx NOS,ICD-9-CM diagnosis,Unspecified disease of pharynx,none,none,J39.2,none,no
151.9,361,diagnosis,"Malignant neoplasm of stomach, unspecified site",Malig neopl stomach NOS,ICD-9-CM diagnosis,"Malignant neoplasm of stomach, unspecified site",none,none,C16.9,none,no
259.4,362,diagnosis,"Dwarfism, not elsewhere classified",Dwarfism NEC,ICD-9-CM diagnosis,"Dwarfism, not elsewhere classified",none,none,E34.3,none,no
757.0,363,diagnosis,Hereditary edema of legs,Hereditary edema of legs,ICD-9-CM diagnosis,Hereditary edema of legs,none,none,Q82.0,none,no
756.9,364,diagnosis,Other and unspecified anomalies of musculoskeletal system,Musculoskel anom NEC/NOS,ICD-9-CM diagnosis,Other and unspecified anomalies of musculoskeletal system,none,none,Q68.8;Q79.8;Q79.9,none,no
478.9,365,diagnosis,Other and unspecified diseases of upper respiratory tract,Upper resp dis NEC/NOS,ICD-9-CM diagnosis,Other and unspecified diseases of upper respiratory tract,none,none,J39.8;J39.9,none,no
270.7,366,diagnosis,Other disturbances of straight-chain amino-acid metabolism,Straig amin-acid met NEC,ICD-9-CM diagnosis,Other disturbances of straight-chain amino-acid metabolism,none,none,E72.3;E72.8,none,no
745.8,367,diagnosis,Other bulbus cordis anomalies and anomalies of cardiac septal closure,Septal closure anom NEC,ICD-9-CM diagnosis,Other bulbus cordis anomalies and anomalies of cardiac septal closure,none,none,Q20.8;Q21.8,none,no
746.83,368,diagnosis,Infundibular pulmonic stenosis,Infundib pulmon stenosis,ICD-9-CM diagnosis,Infundibular pulmonic stenosis,none,none,Q24.3,none,no
273.2,369,diagnosis,Other paraproteinemias,Paraproteinemia NEC,ICD-9-CM diagnosis,Other paraproteinemias,none,none,D89.1,none,no
448.0,370,diagnosis,Hereditary hemorrhagic telangiectasia,Heredit hemorr telangiec,Disease,An inherited disorder of angiogenesis characterized by mucocutaneous telangiectases and visceral arteriovenous malformations.,ORPHA:774,Hereditary hemorrhagic telangiectasia,I78.0,name-exact,yes
695.15,371,diagnosis,Toxic epidermal necrolysis,Toxic epidrml necrolysis,Clinical subtype,"An extended form of Stevens-Johnson syndrome/toxic epidermal necrolysis spectrum characterized by destruction and detachment of the skin epithelium, involving 30% or more of the body surface area, and mucous membranes. Onset usually occurs 4-28 days after administration of the causal medication and is most frequently associated with anticonvulsants, antibacterial sulfonamides, allopurinol, nevirapine, and oxicams (non-steroidal anti-inflammatory drugs), but many other medications have also been implicated. The disease is not induced by medication in 15% of cases. Histology is characterized by an epidermal necrolysis. Multiple disabling long-term sequelae (especially cutaneous, ocular and psychological) are frequent.",ORPHA:537,Toxic epidermal necrolysis,L51.2,name-exact,yes
164.9,372,diagnosis,"Malignant neoplasm of mediastinum, part unspecified",Mal neo mediastinum NOS,ICD-9-CM diagnosis,"Malignant neoplasm of mediastinum, part unspecified",none,none,C38.3,none,no
283.2,373,diagnosis,Hemoglobinuria due to hemolysis from external causes,Hemolytic hemoglobinuria,ICD-9-CM diagnosis,Hemoglobinuria due to hemolysis from external causes,none,none,D59.5;D59.6;D59.8,none,no
747.20,374,diagnosis,"Anomaly of aorta, unspecified",Cong anom of aorta NOS,ICD-9-CM diagnosis,"Anomaly of aorta, unspecified",none,none,Q25.4,none,no
756.89,375,diagnosis,"Other specified anomalies of muscle, tendon, fascia, and connective tissue",Soft tissue anomaly NEC,ICD-9-CM diagnosis,"Other specified anomalies of muscle, tendon, fascia, and connective tissue",none,none,Q79.8,none,no
759.5,376,diagnosis,Tuberous sclerosis,Tuberous sclerosis,Disease,"A rare neurocutaneous disorder characterized by multisystem hamartomas, most commonly involving the skin, brain, kidneys, lungs, eye, and heart, and associated with neuropsychiatric disorders.",ORPHA:805,Tuberous sclerosis complex,Q85.1,name-exact,yes
758.6,377,diagnosis,Gonadal dysgenesis,Gonadal dysgenesis,ICD-9-CM diagnosis,Gonadal dysgenesis,none,none,Q96.9,none,no
747.29,378,diagnosis,Other anomalies of aorta,Cong anom of aorta NEC,ICD-9-CM diagnosis,Other anomalies of aorta,none,none,Q25.4,none,no
334.2,379,diagnosis,Primary cerebellar degeneration,Primary cerebellar degen,ICD-9-CM diagnosis,Primary cerebellar degeneration,none,none,G11.0;G11.2,none,no
228.1,380,diagnosis,"Lymphangioma, any site","Lymphangioma, any site",ICD-9-CM diagnosis,"Lymphangioma, any site",none,none,D18.1,none,no
158.9,381,diagnosis,"Malignant neoplasm of peritoneum, unspecified",Mal neo peritoneum NOS,ICD-9-CM diagnosis,"Malignant neoplasm of peritoneum, unspecified",none,none,C48.2,none,no
393,382,diagnosis,Chronic rheumatic pericarditis,Chr rheumatic pericard,ICD-9-CM diagnosis,Chronic rheumatic pericarditis,none,none,I09.2,none,no
674.54,383,diagnosis,"Peripartum cardiomyopathy, postpartum condition or complication",Peripartum card-postpart,ICD-9-CM diagnosis,"Peripartum cardiomyopathy, postpartum condition or complication",none,none,O90.3,none,no
437.4,384,diagnosis,Cerebral arteritis,Cerebral arteritis,ICD-9-CM diagnosis,Cerebral arteritis,none,none,I67.7,none,no
152.9,385,diagnosis,"Malignant neoplasm of small intestine, unspecified site",Mal neo small bowel NOS,ICD-9-CM diagnosis,"Malignant neoplasm of small intestine, unspecified site",none,none,C17.9,none,no
751.0,386,diagnosis,Meckel's diverticulum,Meckel's diverticulum,ICD-9-CM diagnosis,Meckel's diverticulum,none,none,Q43.0,none,no
287.0,387,diagnosis,Allergic purpura,Allergic purpura,ICD-9-CM diagnosis,Allergic purpura,none,none,D69.0,none,no
611.0,388,diagnosis,Inflammatory disease of breast,Inflam disease of breast,Group of rare disorders (Orphanet),"Inflammatory disease of breast. Its ICD-10 equivalent (N61) is an umbrella under which Orphanet catalogues 2 narrower rare diseases, e.g. Granulomatous mastitis; Lymphocytic mastitis.",multiple,Granulomatous mastitis; Lymphocytic mastitis,N61,icd10-ntbt-group,group
238.1,389,diagnosis,Neoplasm of uncertain behavior of connective and other soft tissue,Unc behav neo soft tissu,ICD-9-CM diagnosis,Neoplasm of uncertain behavior of connective and other soft tissue,none,none,D48.1,none,no
164.0,390,diagnosis,Malignant neoplasm of thymus,Malignant neopl thymus,Group of rare disorders (Orphanet),"Malignant neoplasm of thymus. Its ICD-10 equivalent (C37) is an umbrella under which Orphanet catalogues 9 narrower rare diseases, e.g. Moderately-differentiated thymic neuroendocrine carcinoma; Poorly differentiated thymic neuroendocrine carcinoma; Thymic carcinoma.",multiple,Moderately-differentiated thymic neuroendocrine carcinoma; Poorly differentiated thymic neuroendocrine carcinoma; Thymic carcinoma; Thymic neuroendocrine carcinoma; (+5 more),C37,icd10-ntbt-group,group
341.8,391,diagnosis,Other demyelinating diseases of central nervous system,Cns demyelination NEC,ICD-9-CM diagnosis,Other demyelinating diseases of central nervous system,none,none,G37.1;G37.2;G37.8,none,no
238.0,392,diagnosis,Neoplasm of uncertain behavior of bone and articular cartilage,Unc behav neo bone,ICD-9-CM diagnosis,Neoplasm of uncertain behavior of bone and articular cartilage,none,none,D48.0,none,no
756.16,393,diagnosis,Klippel-Feil syndrome,Klippel-feil syndrome,ICD-9-CM diagnosis,Klippel-Feil syndrome,none,none,Q76.1,none,no
704.09,394,diagnosis,Other alopecia,Alopecia NEC,ICD-9-CM diagnosis,Other alopecia,none,none,L65.8;L66.0;L66.2;L66.8,none,no
581.89,395,diagnosis,Nephrotic syndrome with other specified pathological lesion in kidney,Nephrotic syndrome NEC,ICD-9-CM diagnosis,Nephrotic syndrome with other specified pathological lesion in kidney,none,none,N04.8,none,no
146.8,396,diagnosis,Malignant neoplasm of other specified sites of oropharynx,Mal neo oropharynx NEC,ICD-9-CM diagnosis,Malignant neoplasm of other specified sites of oropharynx,none,none,C10.4;C10.8,none,no
237.1,397,diagnosis,Neoplasm of uncertain behavior of pineal gland,Unc behav neo pineal,ICD-9-CM diagnosis,Neoplasm of uncertain behavior of pineal gland,none,none,D44.5,none,no
446.21,398,diagnosis,Goodpasture's syndrome,Goodpasture's syndrome,ICD-9-CM diagnosis,Goodpasture's syndrome,none,none,M31.0,none,no
708.8,399,diagnosis,Other specified urticaria,Urticaria NEC,ICD-9-CM diagnosis,Other specified urticaria,none,none,L50.6;L50.8,none,no
161.1,400,diagnosis,Malignant neoplasm of supraglottis,Malig neo supraglottis,ICD-9-CM diagnosis,Malignant neoplasm of supraglottis,none,none,C32.1,none,no
237.3,401,diagnosis,Neoplasm of uncertain behavior of paraganglia,Unc behav neo paragang,ICD-9-CM diagnosis,Neoplasm of uncertain behavior of paraganglia,none,none,D44.6;D44.7,none,no
287.2,402,diagnosis,Other nonthrombocytopenic purpuras,Purpura NOS,ICD-9-CM diagnosis,Other nonthrombocytopenic purpuras,none,none,D69.2,none,no
334.3,403,diagnosis,Other cerebellar ataxia,Cerebellar ataxia NEC,ICD-9-CM diagnosis,Other cerebellar ataxia,none,none,G11.1,none,no
746.09,404,diagnosis,Other congenital anomalies of pulmonary valve,Pulmonary valve anom NEC,ICD-9-CM diagnosis,Other congenital anomalies of pulmonary valve,none,none,Q22.2,none,no
194.1,405,diagnosis,Malignant neoplasm of parathyroid gland,Malig neo parathyroid,ICD-9-CM diagnosis,Malignant neoplasm of parathyroid gland,none,none,C75.0,none,no
742.8,406,diagnosis,Other specified congenital anomalies of nervous system,Nervous system anom NEC,ICD-9-CM diagnosis,Other specified congenital anomalies of nervous system,none,none,G90.1;Q07.8,none,no
759.3,407,diagnosis,Situs inversus,Situs inversus,Morphological anomaly,"A rare, genetic, developmental defect during embryogenesis characterized by total mirror-image transposition of both thoracic and abdominal viscera across the left-right axis of the body. Congenital abnormalities, such as primary ciliary dyskinesia, Kartagener type, polysplenia syndrome, biliary atresia, congenital heart disease, and midgut malrotation, as well as vascular anomalies (e.g. absence of retrohepatic inferior vena cava, preduodenal portal vein, aberrant hepatic arterial anatomy) and malignancy, are frequently associated.",ORPHA:101063,Situs inversus totalis,Q89.3,name-exact,yes
743.62,408,diagnosis,Congenital deformities of eyelids,Congenital eyelid deform,ICD-9-CM diagnosis,Congenital deformities of eyelids,none,none,Q10.1;Q10.2;Q10.3,none,no
746.81,409,diagnosis,Subaortic stenosis,Cong subaortic stenosis,ICD-9-CM diagnosis,Subaortic stenosis,none,none,Q24.4,none,no
607.85,410,diagnosis,Peyronie's disease,Peyronie's disease,ICD-9-CM diagnosis,Peyronie's disease,none,none,N48.6,none,no
152.0,411,diagnosis,Malignant neoplasm of duodenum,Malignant neopl duodenum,ICD-9-CM diagnosis,Malignant neoplasm of duodenum,none,none,C17.0,none,no
520.0,412,diagnosis,Anodontia,Anodontia,ICD-9-CM diagnosis,Anodontia,none,none,K00.0,none,no
151.6,413,diagnosis,"Malignant neoplasm of greater curvature of stomach, unspecified",Mal neo stom great curv,ICD-9-CM diagnosis,"Malignant neoplasm of greater curvature of stomach, unspecified",none,none,C16.6,none,no
701.2,414,diagnosis,Acquired acanthosis nigricans,Acq acanthosis nigricans,ICD-9-CM diagnosis,Acquired acanthosis nigricans,none,none,L83,none,no
282.7,415,diagnosis,Other hemoglobinopathies,Hemoglobinopathies NEC,ICD-9-CM diagnosis,Other hemoglobinopathies,none,none,D56.4;D58.2,none,no
273.0,416,diagnosis,Polyclonal hypergammaglobulinemia,Polyclon hypergammaglobu,ICD-9-CM diagnosis,Polyclonal hypergammaglobulinemia,none,none,D89.0,none,no
121.1,417,diagnosis,Clonorchiasis,Clonorchiasis,ICD-9-CM diagnosis,Clonorchiasis,none,none,B66.1,none,no
711.20,418,diagnosis,"Arthropathy in Behcet's syndrome, site unspecified",Behcet arthritis-unspec,ICD-9-CM diagnosis,"Arthropathy in Behcet's syndrome, site unspecified",none,none,M35.2,none,no
136.1,419,diagnosis,Behcet's syndrome,Behcet's syndrome,ICD-9-CM diagnosis,Behcet's syndrome,none,none,M35.2,none,no
686.01,420,diagnosis,Pyoderma gangrenosum,Pyoderma gangrenosum,Disease,"A rare inflammatory neutrophilic dermatosis characterized by painful cutaneous ulcerations with a violaceous and undermined border affecting the lower extremities; however, any hair-bearing area can be affected.",ORPHA:48104,Pyoderma gangrenosum,L88,icd10-exact-E,yes
272.5,421,diagnosis,Lipoprotein deficiencies,Lipoprotein deficiencies,ICD-9-CM diagnosis,Lipoprotein deficiencies,none,none,E78.6,none,no
238.2,422,diagnosis,Neoplasm of uncertain behavior of skin,Unc behav neo skin,ICD-9-CM diagnosis,Neoplasm of uncertain behavior of skin,none,none,D48.5,none,no
771.2,423,diagnosis,Other congenital infections specific to the perinatal period,Congenital infec NEC,ICD-9-CM diagnosis,Other congenital infections specific to the perinatal period,none,none,P35.2;P37.0;P37.1;P37.2;P37.3;P37.4;P37.8,none,no
321.0,424,diagnosis,Cryptococcal meningitis,Cryptococcal meningitis,ICD-9-CM diagnosis,Cryptococcal meningitis,none,none,B45.1,none,no
756.17,425,diagnosis,Spina bifida occulta,Spina bifida occulta,Clinical group,"A rare group of spinal dysraphisms, also referred to as spina bifida occulta, with a high variability in terms of severity,characterized by the absence of exposed neural tissue. The skin overlying the abnormality remains intact although the skin itself may be abnormal with features such as hairy patch of skin, crater or haemangioma. These skin features are known as the cutaneous stigmata of spinal dysraphism.",ORPHA:645202,Closed spinal dysraphism,Q76.0,name-exact,group
755.59,426,diagnosis,"Other anomalies of upper limb, including shoulder girdle",Upper limb anomaly NEC,ICD-9-CM diagnosis,"Other anomalies of upper limb, including shoulder girdle",none,none,Q74.0,none,no
756.51,427,diagnosis,Osteogenesis imperfecta,Osteogenesis imperfecta,Disease,"A rare, genetic, primary bone dysplasias characterized by increased bone fragility, low bone mass, and susceptibility to bone fractures. The clinical severity is heterogeneous.",ORPHA:666,Osteogenesis imperfecta,Q78.0,name-exact,yes
759.81,428,diagnosis,Prader-Willi syndrome,Prader-willi syndrome,Disease,"A rare genetic, neurodevelopmental syndrome characterized by hypothalamic-pituitary dysfunction with severe hypotonia and feeding deficits during the neonatal period followed by an excessive weight gain period with hyperphagia with a risk of severe obesity during childhood and adulthood, learning difficulties, deficits of social skills and behavioral problems or severe psychiatric problems.",ORPHA:739,Prader-Willi syndrome,Q87.1,name-exact,yes
150.1,429,diagnosis,Malignant neoplasm of thoracic esophagus,Mal neo thoracic esophag,ICD-9-CM diagnosis,Malignant neoplasm of thoracic esophagus,none,none,C15.4,none,no
753.7,430,diagnosis,Anomalies of urachus,Anomalies of urachus,ICD-9-CM diagnosis,Anomalies of urachus,none,none,Q64.4,none,no
216.9,431,diagnosis,"Benign neoplasm of skin, site unspecified",Benign neoplasm skin NOS,ICD-9-CM diagnosis,"Benign neoplasm of skin, site unspecified",none,none,D23.9,none,no
330.1,432,diagnosis,Cerebral lipidoses,Cerebral lipidoses,ICD-9-CM diagnosis,Cerebral lipidoses,none,none,E75.02;E75.19;E75.4,none,no
567.1,433,diagnosis,Pneumococcal peritonitis,Pneumococcal peritonitis,ICD-9-CM diagnosis,Pneumococcal peritonitis,none,none,K65.8,none,no
70.52,434,procedure,Repair of rectocele,Rectocele repair,ICD-9-CM procedure,Repair of rectocele,none,none,0JQC0ZZ;0JQC3ZZ,none,no
333.79,435,diagnosis,Other acquired torsion dystonia,Acq torsion dystonia NEC,ICD-9-CM diagnosis,Other acquired torsion dystonia,none,none,G24.8,none,no
758.81,436,diagnosis,Other conditions due to sex chromosome anomalies,Oth cond due to sex chrm,ICD-9-CM diagnosis,Other conditions due to sex chromosome anomalies,none,none,Q97.0;Q97.1;Q97.2;Q97.8;Q98.5;Q98.7;Q98.8;Q99.8,none,no
335.23,437,diagnosis,Pseudobulbar palsy,Pseudobulbar palsy,ICD-9-CM diagnosis,Pseudobulbar palsy,none,none,G12.8,none,no
265.2,438,diagnosis,Pellagra,Pellagra,Disease,"Pellagra is a nutritional disorder caused by a deficiency in niacin (vitamin B3) or its precursor (tryptophan) that is mainly observed in Asia and Africa where it is generally due to poor nutrition. It is characterized by dermatitis (symmetrical photodistributed erythema that may be accompanied by vesicles and bullae, and that develops into hyperkeratotic and hyperpigmented skin), gastrointestinal symptoms (diarrhea), and neuropsychiatric disorders (dementia). It can be life-threatening without a correct management.",ORPHA:97352,Pellagra,E52,icd10-exact-E,yes
745.60,439,diagnosis,"Endocardial cushion defect, unspecified type",Endocard cushion def NOS,ICD-9-CM diagnosis,"Endocardial cushion defect, unspecified type",none,none,Q21.2,none,no
752.2,440,diagnosis,Doubling of uterus,Doubling of uterus,ICD-9-CM diagnosis,Doubling of uterus,none,none,Q51.10;Q51.2,none,no
755.55,441,diagnosis,Acrocephalosyndactyly,Acrocephalosyndactyly,ICD-9-CM diagnosis,Acrocephalosyndactyly,none,none,Q87.0,none,no
778.0,442,diagnosis,Hydrops fetalis not due to isoimmunization,Hydrops fetalis no isoim,ICD-9-CM diagnosis,Hydrops fetalis not due to isoimmunization,none,none,P83.2,none,no
341.20,443,diagnosis,Acute (transverse) myelitis NOS,Acute myelitis NOS,ICD-9-CM diagnosis,Acute (transverse) myelitis NOS,none,none,G37.3,none,no
295.22,444,diagnosis,"Catatonic type schizophrenia, chronic",Catatonia-chronic,ICD-9-CM diagnosis,"Catatonic type schizophrenia, chronic",none,none,F20.2,none,no
761.8,445,diagnosis,Other specified maternal complications of pregnancy affecting fetus or newborn,Matern compl NEC aff NB,ICD-9-CM diagnosis,Other specified maternal complications of pregnancy affecting fetus or newborn,none,none,P01.8,none,no
350.2,446,diagnosis,Atypical face pain,Atypical face pain,ICD-9-CM diagnosis,Atypical face pain,none,none,G50.1,none,no
333.4,447,diagnosis,Huntington's chorea,Huntington's chorea,Disease,"Huntington disease (HD) is a rare neurodegenerative disorder of the central nervous system characterized by unwanted choreatic movements, behavioral and psychiatric disturbances and dementia.",ORPHA:399,Huntington disease,G10,icd10-exact-E,yes
352.6,448,diagnosis,Multiple cranial nerve palsies,Mult cranial nerve palsy,ICD-9-CM diagnosis,Multiple cranial nerve palsies,none,none,G52.7,none,no
746.6,449,diagnosis,Congenital mitral insufficiency,Cong mitral insufficienc,ICD-9-CM diagnosis,Congenital mitral insufficiency,none,none,Q23.3,none,no
307.23,450,diagnosis,Tourette's disorder,Tourette's disorder,ICD-9-CM diagnosis,Tourette's disorder,none,none,F95.2,none,no
259.8,451,diagnosis,Other specified endocrine disorders,Endocrine disorders NEC,ICD-9-CM diagnosis,Other specified endocrine disorders,none,none,E34.8,none,no
379.92,452,diagnosis,Swelling or mass of eye,Swelling or mass of eye,ICD-9-CM diagnosis,Swelling or mass of eye,none,none,H57.8,none,no
733.3,453,diagnosis,Hyperostosis of skull,Hyperostosis of skull,ICD-9-CM diagnosis,Hyperostosis of skull,none,none,M85.2,none,no
747.49,454,diagnosis,Other anomalies of great veins,Great vein anomaly NEC,ICD-9-CM diagnosis,Other anomalies of great veins,none,none,Q26.0;Q26.1;Q26.8,none,no
379.93,455,diagnosis,Redness or discharge of eye,Redness/discharge of eye,ICD-9-CM diagnosis,Redness or discharge of eye,none,none,H57.8,none,no
748.2,456,diagnosis,Web of larynx,Laryngeal web,Category,Web of larynx,ORPHA:156249,Larynx anomaly,Q31.0,icd10-exact-E,group
746.87,457,diagnosis,Malposition of heart and cardiac apex,Malposition of heart,ICD-9-CM diagnosis,Malposition of heart and cardiac apex,none,none,Q24.0;Q24.1;Q24.8,none,no
11.51,458,procedure,Suture of corneal laceration,Suture cornea laceration,ICD-9-CM procedure,Suture of corneal laceration,none,none,08Q8XZZ;08Q9XZZ,none,no
359.3,459,diagnosis,Periodic paralysis,Periodic paralysis,Clinical group,Periodic paralysis,ORPHA:206976,Periodic paralysis,G72.3,name-exact,group
70.23,460,procedure,Biopsy of cul-de-sac,Cul-de-sac biopsy,ICD-9-CM procedure,Biopsy of cul-de-sac,none,none,0U9F0ZX;0U9F3ZX;0U9F4ZX;0U9F7ZX;0U9F8ZX;0UBF0ZX;0UBF3ZX;0UBF4ZX;0UBF7ZX;0UBF8ZX,none,no
749.02,461,diagnosis,"Cleft palate, unilateral, incomplete",Unilat cleft palate-inc,Clinical group,A fissure type embryopathy that affects the soft and hard palate to varying degrees.,ORPHA:2014,Cleft palate,Q35.7;Q35.9,icd10-exact-E,group
748.1,462,diagnosis,Other anomalies of nose,Nose anomaly NEC,ICD-9-CM diagnosis,Other anomalies of nose,none,none,Q30.1;Q30.2;Q30.8,none,no
253.3,463,diagnosis,Pituitary dwarfism,Pituitary dwarfism,ICD-9-CM diagnosis,Pituitary dwarfism,none,none,E23.0,none,no
279.11,464,diagnosis,Digeorge's syndrome,Digeorge's syndrome,ICD-9-CM diagnosis,Digeorge's syndrome,none,none,D82.1,none,no
756.3,465,diagnosis,Other anomalies of ribs and sternum,Rib & sternum anomal NEC,ICD-9-CM diagnosis,Other anomalies of ribs and sternum,none,none,Q76.6;Q76.7;Q77.2,none,no
255.2,466,diagnosis,Adrenogenital disorders,Adrenogenital disorders,ICD-9-CM diagnosis,Adrenogenital disorders,none,none,E25.0;E25.8;E25.9,none,no
334.8,467,diagnosis,Other spinocerebellar diseases,Spinocerebellar dis NEC,ICD-9-CM diagnosis,Other spinocerebellar diseases,none,none,G11.3;G11.8,none,no
756.4,468,diagnosis,Chondrodystrophy,Chondrodystrophy,ICD-9-CM diagnosis,Chondrodystrophy,none,none,Q77.1;Q77.4;Q77.8;Q78.4,none,no
750.16,469,diagnosis,Microglossia,Microglossia,ICD-9-CM diagnosis,Microglossia,none,none,Q38.3,none,no
379.8,470,diagnosis,Other specified disorders of eye and adnexa,Eye disorders NEC,ICD-9-CM diagnosis,Other specified disorders of eye and adnexa,none,none,H57.8,none,no
750.19,471,diagnosis,Other congenital anomalies of tongue,Tongue anomaly NEC,ICD-9-CM diagnosis,Other congenital anomalies of tongue,none,none,Q38.3,none,no
148.1,472,diagnosis,Malignant neoplasm of pyriform sinus,Mal neo pyriform sinus,ICD-9-CM diagnosis,Malignant neoplasm of pyriform sinus,none,none,C12,none,no
180.0,473,diagnosis,Malignant neoplasm of endocervix,Malig neo endocervix,ICD-9-CM diagnosis,Malignant neoplasm of endocervix,none,none,C53.0,none,no
446.20,474,diagnosis,"Hypersensitivity angiitis, unspecified",Hypersensit angiitis NOS,ICD-9-CM diagnosis,"Hypersensitivity angiitis, unspecified",none,none,M31.0,none,no
191.6,475,diagnosis,Malignant neoplasm of cerebellum nos,Mal neo cerebellum NOS,ICD-9-CM diagnosis,Malignant neoplasm of cerebellum nos,none,none,C71.6,none,no
742.0,476,diagnosis,Encephalocele,Encephalocele,Clinical group,Encephalocele,ORPHA:268817,Cephalocele,Q01.9,icd10-exact-E,group
238.8,477,diagnosis,Neoplasm of uncertain behavior of other specified sites,Uncert behavior neo NEC,ICD-9-CM diagnosis,Neoplasm of uncertain behavior of other specified sites,none,none,D48.7,none,no
152.2,478,diagnosis,Malignant neoplasm of ileum,Malignant neoplasm ileum,ICD-9-CM diagnosis,Malignant neoplasm of ileum,none,none,C17.2,none,no
751.4,479,diagnosis,Anomalies of intestinal fixation,Intestinal fixation anom,ICD-9-CM diagnosis,Anomalies of intestinal fixation,none,none,Q43.3,none,no
221.0,480,diagnosis,Benign neoplasm of fallopian tube and uterine ligaments,Ben neo fallopian tube,ICD-9-CM diagnosis,Benign neoplasm of fallopian tube and uterine ligaments,none,none,D28.2,none,no
159.9,481,diagnosis,Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum,Mal neo GI tract ill-def,ICD-9-CM diagnosis,Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum,none,none,C26.9,none,no
752.62,482,diagnosis,Epispadias,Epispadias,ICD-9-CM diagnosis,Epispadias,none,none,Q64.0,none,no
157.3,483,diagnosis,Malignant neoplasm of pancreatic duct,Mal neo pancreatic duct,ICD-9-CM diagnosis,Malignant neoplasm of pancreatic duct,none,none,C25.3,none,no
110.0,484,diagnosis,Dermatophytosis of scalp and beard,Dermatophyt scalp/beard,ICD-9-CM diagnosis,Dermatophytosis of scalp and beard,none,none,B35.0,none,no
