icd9_code,label_index,code_kind,name,short_name,type,description,orpha_code,orpha_name,icd10_map,mapping_method,is_rare_disease
155.1,249,diagnosis,Malignant neoplasm of intrahepatic bile ducts,Mal neo intrahepat ducts,ICD-9-CM diagnosis,Malignant neoplasm of intrahepatic bile ducts,none,none,C22.1,none,no
451.89,250,diagnosis,Phlebitis and thrombophlebitis of other sites,Thrombophlebitis NEC,ICD-9-CM diagnosis,Phlebitis and thrombophlebitis of other sites,none,none,I80.8,none,no
199.0,251,diagnosis,Disseminated malignant neoplasm without specification of site,Malig neo disseminated,ICD-9-CM diagnosis,Disseminated malignant neoplasm without specification of site,none,none,C80.0,none,no
753.10,252,diagnosis,"Cystic kidney disease, unspecified",Cystic kidney diseas NOS,ICD-9-CM diagnosis,"Cystic kidney disease, unspecified",none,none,Q61.00;Q61.9,none,no
379.99,253,diagnosis,Other ill-defined disorders of eye,Ill-defined eye dis NEC,ICD-9-CM diagnosis,Other ill-defined disorders of eye,none,none,H57.8,none,no
742.2,254,diagnosis,Congenital reduction deformities of brain,"Reduction deform, brain",ICD-9-CM diagnosis,Congenital reduction deformities of brain,none,none,Q04.1;Q04.2;Q04.3,none,no
746.7,255,diagnosis,Hypoplastic left heart syndrome,Hypoplas left heart synd,Morphological anomaly,"A rare, congenital, non-syndromic, heart malformation characterized by under development of the left-sided cardiac structures (including left ventricle, ascending aorta, aortic arch, and mitral and/or aortic valve) such that the left heart is unable to provide adequate systemic cardiac output.",ORPHA:2248,Hypoplastic left heart syndrome,Q23.4,name-exact,yes
704.8,256,diagnosis,Other specified diseases of hair and hair follicles,Hair diseases NEC,ICD-9-CM diagnosis,Other specified diseases of hair and hair follicles,none,none,L66.3;L73.8,none,no
286.1,257,diagnosis,Congenital factor IX disorder,Cong factor IX disorder,Disease,A rare hematological disorder characterized by spontaneous or prolonged hemorrhages due to factor IX deficiency.,ORPHA:98879,Hemophilia B,D67,icd10-exact-E,yes
366.8,258,diagnosis,Other cataract,Cataract NEC,ICD-9-CM diagnosis,Other cataract,none,none,H26.8,none,no
333.92,259,diagnosis,Neuroleptic malignant syndrome,Neuroleptic malgnt synd,Disease,"A rare neuropsychiatric syndrome associated with administration of antipsychotic or other central dopamine (D2) receptor antagonists, and characterized by hyperthermia, muscular rigidity, autonomic dysfunction and altered consciousness.",ORPHA:94093,Neuroleptic malignant syndrome,G21.0,name-exact,yes
774.30,260,diagnosis,"Neonatal jaundice due to delayed conjugation, cause unspecified",Delay conjugat jaund NOS,ICD-9-CM diagnosis,"Neonatal jaundice due to delayed conjugation, cause unspecified",none,none,P59.8,none,no
202.60,261,diagnosis,"Malignant mast cell tumors, unspecified site, extranodal and solid organ sites",Mlg mast unsp xtrndl org,ICD-9-CM diagnosis,"Malignant mast cell tumors, unspecified site, extranodal and solid organ sites",none,none,C96.2,none,no
746.89,262,diagnosis,Other specified congenital anomalies of heart,Cong heart anomaly NEC,ICD-9-CM diagnosis,Other specified congenital anomalies of heart,none,none,Q23.8;Q24.8,none,no
279.8,263,diagnosis,Other specified disorders involving the immune mechanism,Immune mechanism dis NEC,ICD-9-CM diagnosis,Other specified disorders involving the immune mechanism,none,none,D84.1;D89.89;M35.9,none,no
253.7,264,diagnosis,Iatrogenic pituitary disorders,Iatrogenic pituitary dis,ICD-9-CM diagnosis,Iatrogenic pituitary disorders,none,none,E23.1;E89.3,none,no
446.5,265,diagnosis,Giant cell arteritis,Giant cell arteritis,Disease,"A rare large vessel vasculitis (LVV) characterized by vasculitis predominantly involving the arteries originating from the aortic arch and the extracranial branches of the carotid arteries. Clinical manifestations are variable, the predominant cranial phenotype is characterized by headache, jaw claudication, scalp tenderness and visual symptoms and the predominant LVV type by constitutional symptoms, polymyalgia rheumatica and occasionally limb ischemia. Overlaps between these two phenotypes are common.",ORPHA:397,Giant cell arteritis,M31.6,name-exact,yes
728.71,266,diagnosis,Plantar fascial fibromatosis,Plantar fibromatosis,ICD-9-CM diagnosis,Plantar fascial fibromatosis,none,none,M72.2,none,no
282.60,267,diagnosis,"Sickle-cell disease, unspecified",Sickle cell disease NOS,Category,"Sickle-cell disease, unspecified",ORPHA:275752,Sickle cell disease,D57.1,name-exact,group
251.5,268,diagnosis,Abnormality of secretion of gastrin,Abnorm secretion gastrin,ICD-9-CM diagnosis,Abnormality of secretion of gastrin,none,none,E16.4,none,no
253.8,269,diagnosis,Other disorders of the pituitary and other syndromes of diencephalohypophyseal origin,Pituitary disorder NEC,ICD-9-CM diagnosis,Other disorders of the pituitary and other syndromes of diencephalohypophyseal origin,none,none,E23.6,none,no
389.10,270,diagnosis,"Sensorineural hearing loss, unspecified",Sensorneur hear loss NOS,ICD-9-CM diagnosis,"Sensorineural hearing loss, unspecified",none,none,H90.5,none,no
747.61,271,diagnosis,Gastrointestinal vessel anomaly,Gstrontest vesl anomaly,ICD-9-CM diagnosis,Gastrointestinal vessel anomaly,none,none,Q26.5,none,no
349.89,272,diagnosis,Other specified disorders of nervous system,Cns disorder NEC,Group of rare disorders (Orphanet),"Other specified disorders of nervous system. Its ICD-10 equivalent (G96.8,G98.8) is an umbrella under which Orphanet catalogues 3 narrower rare diseases, e.g. Alternating hemiplegia of childhood; Diffuse cerebral and cerebellar atrophy-intractable seizures-progressive microcephaly syndrome; Microcephaly-brain defect-spasticity-hypernatremia syndrome.",multiple,Alternating hemiplegia of childhood; Diffuse cerebral and cerebellar atrophy-intractable seizures-progressive microcephaly syndrome; Microcephaly-brain defect-spasticity-hypernatremia syndrome,G96.8;G98.8,icd10-ntbt-group,group
565.1,273,diagnosis,Anal fistula,Anal fistula,Particular clinical situation in a disease or syndrome,"A rare intestinal condition characterized by an abnormal communication between the lower rectum and the perianal skin, which usually develops after an acute perianal abscess. A fistulous traject may be established on either side of the anus (never in the midline) and mucous or fecal discharge can appear. The skin around the external orifice can be irritated. Males are more often affected than females.",ORPHA:228113,Anal fistula,K60.3;K60.4;K60.5,name-exact,group
745.61,274,diagnosis,Ostium primum defect,Ostium primum defect,ICD-9-CM diagnosis,Ostium primum defect,none,none,Q21.2,none,no
751.7,275,diagnosis,Anomalies of pancreas,Pancreas anomalies,ICD-9-CM diagnosis,Anomalies of pancreas,none,none,Q45.0;Q45.1;Q45.3,none,no
